"","exp","tissue","layer","CD3 #","CD4 #","CD4 DR #","CD4 DR MFI","CD8 #","CCR5 #","CCR5 MFI"
"1","YL6","A","UM",11327,5046,850,154,5624,4140,3080
"2","YL5","A","E",1160,407,175,652,591,306,2634
"3","YL5","A","UM",15460,3287,389,240,10713,1795,1626
"4","YL3","V","E",60476,20531,2399,216,37714,19675,13107
"5","YL3","V","UM",19926,12925,925,207,6680,8591,7392
"6","YL3","L","E",14811,3173,576,189,10603,2875,14160
"7","YL3","L","UM",4460,2369,253,135,1772,1816,6591
"8","YL2","V","E",208665,92746,29443,610,108855,91097,9481
"9","YL2","V","UM",24513,17668,2585,292,5189,15102,2997
"10","YL1","A","E",9370,4818,1229,858,3836,4375,9238
"11","YL1","A","UM",68879,33616,5488,788,29539,27725,8400
"12","TSO33","L","UM",30774,21412,2942,151,7223,16044,613
"13","TSO33","L","E",24671,6369,1287,274,11488,5764,1948
"14","TSO33","V","E",156808,16831,365,31.9,125963,16507,2446
"15","TSO33","V","UM",49774,18227,476,33.9,27033,15217,1150
"16","TSO32","L","E",13626,4702,1034,436,7366,3999,2191
"17","TSO32","L","UM",2547,1842,242,247,426,1365,1095
"18","TSO32","L","E",6321,2640,930,551,2773,2360,2209
"19","TSO32","L","UM",3952,2620,550,320,952,2129,1504
"20","TSO32","V","E",15295,4470,355,158,9739,4160,2490
"21","TSO32","V","UM",20341,11459,367,85,7460,9782,1528
"22","TSO31","L","E",30109,7614,580,261,14013,7137,4013
"23","TSO31","L","UM",21766,14344,884,264,4816,12147,1695
"24","TSO31","V","E",195520,54655,1530,115,110147,52482,3333
"25","TSO31","V","UM",32095,13500,238,48.2,15154,11107,1372
"26","TSO28","L","UM",55495,34365,4584,223,13030,28350,1084
"27","TSO28","L","UM",34718,24819,5824,361,5087,20820,1154
"28","TSO28","L","E",126032,29511,4859,270,64510,27931,2652
